product_name,product_brand,actual_price,selling_price,product_link
Men Solid Casual Mandarin Shirt,GHPC,"₹1,599",₹525,flipkart.com/ghpc-men-solid-casual-white-shirt/p/itmf96e9rg6svhta?pid=SHTF96BFVKTEXNVG&lid=LSTSHTF96BFVKTEXNVGVTWEUG&marketplace=FLIPKART&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTF96BFVKTEXNVG.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Solid Casual Shirt,GESPO,"₹1,199",₹399,flipkart.com/gespo-men-solid-casual-white-shirt/p/itmfa8buyfqkmxth?pid=SHTFA8AJEDJM5TNG&lid=LSTSHTFA8AJEDJM5TNGRQ784V&marketplace=FLIPKART&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFA8AJEDJM5TNG.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Striped Casual Mandarin Shirt,COBIO MAN,"₹1,670",₹549,flipkart.com/cobio-man-men-striped-casual-white-shirt/p/itmbdbdae787dc49?pid=SHTFKBFDFSUNUAN3&lid=LSTSHTFKBFDFSUNUAN3SNFWOD&marketplace=FLIPKART&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFKBFDFSUNUAN3.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Solid Casual Spread Shirt,Rope,,₹549,flipkart.com/rope-men-solid-casual-maroon-shirt/p/itmf3x9fhdnt8f7j?pid=SHTEUFTYGQK5BFXX&lid=LSTSHTEUFTYGQK5BFXXNZACYL&marketplace=FLIPKART&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTEUFTYGQK5BFXX.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Printed Casual Slim Shirt,Kevin Swift,,₹499,flipkart.com/kevin-swift-men-printed-casual-yellow-shirt/p/itmfhf5usxfdztgg?pid=DHYFHYUVYNZQPYGT&lid=LSTDHYFHYUVYNZQPYGTPERZZK&marketplace=FLIPKART&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=en_435appBZSQN0wtRd%2FkReEEreo%2F786DSdW%2BcEGJ%2FrIrqJC11td0%2FCTXG5ZiZ6K5aJ5SMXyTWyFOTVgiYL7juqew%3D%3D&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
,,,₹499,
,,,₹597,
,,,₹525,
,,,₹549,
,,,₹399,
